Department Full,Combo
Chemistry,CHEM1560
Chemistry,CHEM1620
Classics,CLAS0530
Classics,CLAS0660
Classics,CLAS0780
Classics,CLAS0855
Classics,CLAS0900
Classics,CLAS1120
Classics,CLAS1320
Classics,CLAS1750
Classics,GREK0110
Classics,GREK0200
Classics,GREK0400
Classics,GREK1110
Classics,GREK1111
Classics,GREK1150
Classics,LATN0110
Classics,LATN0200
Classics,LATN0400
Classics,LATN1110
Classics,LATN1820
Classics,LATN1930
Cognitive Linguistic and Physcological Sciences,CLPS0050
Cognitive Linguistic and Physcological Sciences,CLPS0150
Cognitive Linguistic and Physcological Sciences,CLPS0200
Cognitive Linguistic and Physcological Sciences,CLPS0220
Cognitive Linguistic and Physcological Sciences,CLPS0400
Cognitive Linguistic and Physcological Sciences,CLPS0450
Cognitive Linguistic and Physcological Sciences,CLPS0600
Cognitive Linguistic and Physcological Sciences,CLPS0620
Cognitive Linguistic and Physcological Sciences,CLPS0701
Cognitive Linguistic and Physcological Sciences,CLPS0710
Cognitive Linguistic and Physcological Sciences,CLPS0800
Cognitive Linguistic and Physcological Sciences,CLPS0900
Cognitive Linguistic and Physcological Sciences,CLPS1150
Cognitive Linguistic and Physcological Sciences,CLPS1160
Cognitive Linguistic and Physcological Sciences,CLPS1191
Cognitive Linguistic and Physcological Sciences,CLPS1192
Cognitive Linguistic and Physcological Sciences,CLPS1310
Cognitive Linguistic and Physcological Sciences,CLPS1341
Cognitive Linguistic and Physcological Sciences,CLPS1360
Cognitive Linguistic and Physcological Sciences,CLPS1365
Cognitive Linguistic and Physcological Sciences,CLPS1381
Cognitive Linguistic and Physcological Sciences,CLPS1390
Cognitive Linguistic and Physcological Sciences,CLPS1400
Cognitive Linguistic and Physcological Sciences,CLPS1480
Cognitive Linguistic and Physcological Sciences,CLPS1490
Cognitive Linguistic and Physcological Sciences,CLPS1500
Cognitive Linguistic and Physcological Sciences,CLPS1510
Cognitive Linguistic and Physcological Sciences,CLPS1561
Cognitive Linguistic and Physcological Sciences,CLPS1570
Cognitive Linguistic and Physcological Sciences,CLPS1580
Cognitive Linguistic and Physcological Sciences,CLPS1590
Cognitive Linguistic and Physcological Sciences,CLPS1690
Cognitive Linguistic and Physcological Sciences,CLPS1700
Cognitive Linguistic and Physcological Sciences,CLPS1720
Cognitive Linguistic and Physcological Sciences,CLPS1760
Cognitive Linguistic and Physcological Sciences,CLPS1880
Cognitive Linguistic and Physcological Sciences,CLPS1900
Cogut Center for Humanities,HMAN1971
Cogut Center for Humanities,HMAN1973
Cogut Center for Humanities,HMAN1974
Comparative Literature,COLT0610
Comparative Literature,COLT0710
Comparative Literature,COLT0711
Comparative Literature,COLT0810
Comparative Literature,COLT1310
Comparative Literature,COLT1330
Comparative Literature,COLT1411
Comparative Literature,COLT1430
Comparative Literature,COLT1440
Comparative Literature,COLT1710
Comparative Literature,COLT1810
Comparative Literature,COLT1814
Comparative Literature,COLT1815
Computer Science,CSCI0040
Computer Science,CSCI0081
Computer Science,CSCI0082
Computer Science,CSCI0160
Computer Science,CSCI0180
Computer Science,CSCI0220
Computer Science,CSCI0320
Computer Science,CSCI1280
Computer Science,CSCI1320
Computer Science,CSCI1380
Computer Science,CSCI1420
Computer Science,CSCI1430
Computer Science,CSCI1460
Computer Science,CSCI1550
Computer Science,CSCI1620
Computer Science,CSCI1660
Computer Science,CSCI1670
Computer Science,CSCI1690
Computer Science,CSCI1800
Computer Science,CSCI1900
Computer Science,CSCI1950
Computer Science,CSCI1951
Developmental Studies,DEVL1000
Developmental Studies,DEVL1500
Developmental Studies,DEVL1803
Developmental Studies,DEVL1810
Earth Environment and Planetary Sciences,GEOL0010
Earth Environment and Planetary Sciences,GEOL0070
Earth Environment and Planetary Sciences,GEOL0160
Earth Environment and Planetary Sciences,GEOL0230
Earth Environment and Planetary Sciences,GEOL0240
Earth Environment and Planetary Sciences,GEOL0850
Earth Environment and Planetary Sciences,GEOL1150
Earth Environment and Planetary Sciences,GEOL1310
Earth Environment and Planetary Sciences,GEOL1330
Earth Environment and Planetary Sciences,GEOL1420
Earth Environment and Planetary Sciences,GEOL1450
Earth Environment and Planetary Sciences,GEOL1520
Earth Environment and Planetary Sciences,GEOL1650
Earth Environment and Planetary Sciences,GEOL1960
East Asian Studies,CHIN0200
East Asian Studies,CHIN0400
East Asian Studies,CHIN0450
East Asian Studies,CHIN0600
East Asian Studies,CHIN0800
East Asian Studies,CHIN0910
East Asian Studies,CHIN0920
East Asian Studies,EAST0500
East Asian Studies,EAST0532
East Asian Studies,EAST0550
East Asian Studies,EAST0650
East Asian Studies,EAST1030
East Asian Studies,EAST1291
East Asian Studies,EAST1500
East Asian Studies,EAST1510
East Asian Studies,EAST1950
East Asian Studies,EAST1951
East Asian Studies,JAPN0200
East Asian Studies,JAPN0400
East Asian Studies,JAPN0600
East Asian Studies,JAPN0800
East Asian Studies,JAPN0910
East Asian Studies,JAPN0920
East Asian Studies,JAPN1310
East Asian Studies,KREA0200
East Asian Studies,KREA0400
East Asian Studies,KREA0600
Economics,ECON0110
Economics,ECON0170
Economics,ECON0200
Economics,ECON0710
Economics,ECON1110
Economics,ECON1130
Economics,ECON1210
Economics,ECON1225
Economics,ECON1301
Economics,ECON1310
Economics,ECON1355
Economics,ECON1370
Economics,ECON1400
Economics,ECON1460
Economics,ECON1486
Economics,ECON1510
Economics,ECON1540
Economics,ECON1550
Economics,ECON1560
Economics,ECON1620
Economics,ECON1629
Economics,ECON1630
Economics,ECON1640
Economics,ECON1660
Economics,ECON1710
Economics,ECON1720
Economics,ECON1740
Economics,ECON1750
Economics,ECON1820
Economics,ECON1870
Education,EDUC0410
Education,EDUC0610
Education,EDUC0620
Education,EDUC0850
Education,EDUC0860
Education,EDUC1010
Education,EDUC1040
Education,EDUC1070
Education,EDUC1080
Education,EDUC1100
Education,EDUC1130
Education,EDUC1110
Education,EDUC1270
Education,EDUC1580
Education,EDUC1650
Education,EDUC1720
Education,EDUC1730
Education,EDUC1860
Education,EDUC1870
Egyptology and Assyriology,ASYR0310
Egyptology and Assyriology,ASYR1010
Egyptology and Assyriology,ASYR1700
Egyptology and Assyriology,EGYT1410
Egyptology and Assyriology,EGYT1420
Egyptology and Assyriology,EGYT1490
Engineering,ENGN0020
Engineering,ENGN0040
Engineering,ENGN0120
Engineering,ENGN0260
Engineering,ENGN0520
Engineering,ENGN0720
Engineering,ENGN0900
Engineering,ENGN0930
Engineering,ENGN0931
Engineering,ENGN1001
Engineering,ENGN1010
Engineering,ENGN1110
Engineering,ENGN1140
Engineering,ENGN1210
Engineering,ENGN1220
Engineering,ENGN1300
Engineering,ENGN1340
Engineering,ENGN1360
Engineering,ENGN1370
Engineering,ENGN1420
Engineering,ENGN1450
Engineering,ENGN1520
Engineering,ENGN1560
Engineering,ENGN1580
Engineering,ENGN1620
Engineering,ENGN1640
Engineering,ENGN1680
Engineering,ENGN1710
Engineering,ENGN1720
Engineering,ENGN1740
Engineering,ENGN1760
Engineering,ENGN1860
Engineering,ENGN1930
Engineering,ENGN1931
English,ENGL0100
English,ENGL0150
English,ENGL0200
English,ENGL0300
English,ENGL0310
English,ENGL0510
English,ENGL0511
English,ENGL0700
English,ENGL0710
English,ENGL0900
English,ENGL0930
English,ENGL1030
English,ENGL1050
English,ENGL1140
English,ENGL1160
English,ENGL1180
English,ENGL1190
English,ENGL1311
English,ENGL1561
English,ENGL1710
English,ENGL1711
English,ENGL1760
English,ENGL1761
English,ENGL1762
English,ENGL1900
English,ENGL1992
English,ENGL1994
French Studies,FREN0110
French Studies,FREN0200
French Studies,FREN0400
French Studies,FREN0500
French Studies,FREN0600
French Studies,FREN0720
French Studies,FREN0820
French Studies,FREN1040
French Studies,FREN1310
French Studies,FREN1330
French Studies,FREN1410
French Studies,FREN1510
French Studies,FREN1900
German Studies,GRMN0110
German Studies,GRMN0200
German Studies,GRMN0400
German Studies,GRMN0600
German Studies,GRMN0750
German Studies,GRMN1200
German Studies,GRMN1340
Hispanic Studies,HISP0110
Hispanic Studies,HISP0200
Hispanic Studies,HISP0300
Hispanic Studies,HISP0400
Hispanic Studies,HISP0500
Hispanic Studies,HISP0600
Hispanic Studies,HISP0750
Hispanic Studies,HISP0760
Hispanic Studies,HISP1240
Hispanic Studies,HISP1290
Hispanic Studies,HISP1330
Hispanic Studies,HISP1331
Hispanic Studies,HISP1370
Hispanic Studies,HISP1371
Hispanic Studies,HISP1700
History,HIST0150
History,HIST0203
History,HIST0234
History,HIST0252
History,HIST0270
History,HIST0276
History,HIST0286
History,HIST0537
History,HIST0576
History,HIST0621
History,HIST0654
History,HIST0675
History,HIST0930
History,HIST1030
History,HIST1110
History,HIST1211
History,HIST1216
History,HIST1230
History,HIST1264
History,HIST1266
History,HIST1280
History,HIST1310
History,HIST1333
History,HIST1455
History,HIST1501
History,HIST1554
History,HIST1571
History,HIST1830
History,HIST1835
History,HIST1930
History,HIST1956
History,HIST1961
History,HIST1964
History,HIST1965
History,HIST1967
History,HIST1970
History,HIST1972
History,HIST1974
History,HIST1976
History,HIST1977
History,HIST1980
History,HIST1992
History,HIST1993
History,HIST1994
History of Art and Architecture,HIAA0001
History of Art and Architecture,HIAA0002
History of Art and Architecture,HIAA0004
History of Art and Architecture,HIAA0006
History of Art and Architecture,HIAA0007
History of Art and Architecture,HIAA0021
History of Art and Architecture,HIAA0023
History of Art and Architecture,HIAA0072
History of Art and Architecture,HIAA0087
History of Art and Architecture,HIAA0090
History of Art and Architecture,HIAA0630
History of Art and Architecture,HIAA0710
History of Art and Architecture,HIAA1101
History of Art and Architecture,HIAA1201
History of Art and Architecture,HIAA1307
History of Art and Architecture,HIAA1440
History of Art and Architecture,HIAA1600
History of Art and Architecture,HIAA1771
History of Art and Architecture,HIAA1880
Institute at Brown for Environment and Society,ENVS0160
Institute at Brown for Environment and Society,ENVS0495
Institute at Brown for Environment and Society,ENVS0705
Institute at Brown for Environment and Society,ENVS0715
Institute at Brown for Environment and Society,ENVS1105
Institute at Brown for Environment and Society,ENVS1535
Institute at Brown for Environment and Society,ENVS1545
Institute at Brown for Environment and Society,ENVS1555
Institute at Brown for Environment and Society,ENVS1580
Institute at Brown for Environment and Society,ENVS1914
Institute at Brown for Environment and Society,ENVS1916
Institute at Brown for Environment and Society,ENVS1925
Institute at Brown for Environment and Society,ENVS1927
Institute at Brown for Environment and Society,ENVS1928
International Relations,INTL1443
International Relations,INTL1555
International Relations,INTL1700
International Relations,INTL1802
International Relations,INTL1803
Italian Studies,ITAL0110
Italian Studies,ITAL0200
Italian Studies,ITAL0400
Italian Studies,ITAL0600
Italian Studies,ITAL1020
Italian Studies,ITAL1030
Italian Studies,ITAL1620
Judaic Studies,HEBR0200
Judaic Studies,HEBR0400
Judaic Studies,HEBR0600
Judaic Studies,JUDS0061
Judaic Studies,JUDS0685
Judaic Studies,JUDS0830
Judaic Studies,JUDS0902
Judaic Studies,JUDS1610
Judaic Studies,JUDS1614
Judaic Studies,JUDS1680
Judaic Studies,JUDS1690
Judaic Studies,JUDS1711
Judaic Studies,JUDS1718
Judaic Studies,JUDS1730
Judaic Studies,JUDS1733
Judaic Studies,JUDS1801
Latin American and Carribean Studies,LACA0030
Latin American and Carribean Studies,LACA0537
Latin American and Carribean Studies,LACA0750
Latin American and Carribean Studies,LACA0760
Latin American and Carribean Studies,LACA1071
Latin American and Carribean Studies,LACA1151
Latin American and Carribean Studies,LACA1200
Latin American and Carribean Studies,LACA1281
Latin American and Carribean Studies,LACA1370
Latin American and Carribean Studies,LACA1371
Latin American and Carribean Studies,LACA1411
Latin American and Carribean Studies,LACA1501
Latin American and Carribean Studies,LACA1503
Latin American and Carribean Studies,LACA1504
Latin American and Carribean Studies,LACA1620
Latin American and Carribean Studies,LACA1700
Latin American and Carribean Studies,LACA1702
Latin American and Carribean Studies,LACA1703
Latin American and Carribean Studies,LACA1750
Latin American and Carribean Studies,LACA1800
Latin American and Carribean Studies,LACA1803
Latin American and Carribean Studies,LACA1923
Latin American and Carribean Studies,LACA1961
Latin American and Carribean Studies,LACA1967
Literary Arts,LITR0100
Literary Arts,LITR0110
Literary Arts,LITR0210
Literary Arts,LITR0310
Literary Arts,LITR0610
Literary Arts,LITR0710
Literary Arts,LITR1010
Literary Arts,LITR1150
Literary Arts,LITR1151
Literary Arts,LITR1200
Literary Arts,LITR1230
Literary Arts,LITR1231
Literary Arts,LITR1410
Mathematics,MATH0060
Mathematics,MATH0090
Mathematics,MATH0100
Mathematics,MATH0180
Mathematics,MATH0200
Mathematics,MATH0420
Mathematics,MATH0520
Mathematics,MATH0540
Mathematics,MATH0760
Mathematics,MATH1010
Mathematics,MATH1040
Mathematics,MATH1120
Mathematics,MATH1140
Mathematics,MATH1150
Mathematics,MATH1230
Mathematics,MATH1530
Mathematics,MATH1540
Mathematics,MATH1560
Mathematics,MATH1620
Mathematics,MATH1810
Medieval Studies,MDVL0015
Medieval Studies,MDVL0300
Medieval Studies,MDVL0360
Medieval Studies,MDVL0980
Medieval Studies,MDVL1110
Medieval Studies,MDVL1211
Medieval Studies,MDVL1311
Medieval Studies,MDVL1361
Medieval Studies,MDVL1440
Medieval Studies,MDVL1801
Modern Culture and Media,MCMM0150
Modern Culture and Media,MCMM0700
Modern Culture and Media,MCMM0710
Modern Culture and Media,MCMM0750
Modern Culture and Media,MCMM0902
Modern Culture and Media,MCMM1203
Modern Culture and Media,MCMM1204
Modern Culture and Media,MCMM1503
Modern Culture and Media,MCMM1505
Modern Culture and Media,MCMM1506
Modern Culture and Media,MCMM1701
Music,MUSC0032
Music,MUSC0075
Music,MUSC0170
Music,MUSC0202
Music,MUSC0400
Music,MUSC0560
Music,MUSC0570
Music,MUSC0601
Music,MUSC0611
Music,MUSC0621
Music,MUSC0631
Music,MUSC0641
Music,MUSC0642
Music,MUSC0651
Music,MUSC0671
Music,MUSC0681
Music,MUSC0930
Music,MUSC1011
Music,MUSC1130
Music,MUSC1200
Music,MUSC1210
Music,MUSC1221
Music,MUSC1240
Music,MUSC1280
Music,MUSC1290
Music,MUSC1500
Music,MUSC1710
Music,MUSC1900
Music,MUSC1905
Music,MUSC1921
Music,MUSC1923
Music,MUSC1961
Music,MUSC1971
Neuroscience,NEUR0650
Neuroscience,NEUR0680
Neuroscience,NEUR0700
Neuroscience,NEUR1020
Neuroscience,NEUR1040
Neuroscience,NEUR1440
Neuroscience,NEUR1560
Neuroscience,NEUR1600
Neuroscience,NEUR1740
Neuroscience,NEUR1930
Philosophy,PHIL0010
Philosophy,PHIL0110
Philosophy,PHIL0160
Philosophy,PHIL0170
Philosophy,PHIL0200
Philosophy,PHIL0360
Philosophy,PHIL0390
Philosophy,PHIL0450
Philosophy,PHIL0650
Philosophy,PHIL0880
Philosophy,PHIL0991
Philosophy,PHIL1002
Philosophy,PHIL1100
Philosophy,PHIL1250
Philosophy,PHIL1550
Philosophy,PHIL1600
Philosophy,PHIL1640
Philosophy,PHIL1760
Philosophy,PHIL1830
Philosophy,PHIL1820
Philosophy,PHIL1880
Philosophy,PHIL1890
Physics,PHYS0030
Physics,PHYS0040
Physics,PHYS0060
Physics,PHYS0112
Physics,PHYS0114
Physics,PHYS0160
Physics,PHYS0220
Physics,PHYS0500
Physics,PHYS0560
Physics,PHYS1100
Physics,PHYS1420
Physics,PHYS1560
Physics,PHYS1600
Physics,PHYS1970
Political Science,POLS0010
Political Science,POLS0110
Political Science,POLS0220
Political Science,POLS0820
Political Science,POLS0920
Political Science,POLS1010
Political Science,POLS1090
Political Science,POLS1140
Political Science,POLS1220
Political Science,POLS1240
Political Science,POLS1265
Political Science,POLS1280
Political Science,POLS1290
Political Science,POLS1321
Political Science,POLS1380
Political Science,POLS1410
Political Science,POLS1530
Political Science,POLS1550
Political Science,POLS1600
Political Science,POLS1820
Political Science,POLS1821
Political Science,POLS1822
Political Science,POLS1823
Political Science,POLS1824
Political Science,POLS1920
Portuguese and Brazilian Studies,POBS0110
Portuguese and Brazilian Studies,POBS0200
Portuguese and Brazilian Studies,POBS0400
Portuguese and Brazilian Studies,POBS0620
Portuguese and Brazilian Studies,POBS0990
Portuguese and Brazilian Studies,POBS1080
Portuguese and Brazilian Studies,POBS1090
Portuguese and Brazilian Studies,POBS1501
Portuguese and Brazilian Studies,POBS1600
Portuguese and Brazilian Studies,POBS1694
Portuguese and Brazilian Studies,POBS1800
Public Health,PHPA0030
Public Health,PHPA0310
Public Health,PHPA1160
Public Health,PHPA1400
Public Health,PHPA1500
Public Health,PHPA1511
Public Health,PHPA1520
Public Health,PHPA1530
Public Health,PHPA1600
Public Health,PHPA1610
Public Health,PHPA1680
Public Health,PHPA1820
Public Health,PHPA1854
Public Health,PHPA1890
Public Health,PHPA1900
Public Health,PHPA1964
Public Policy,PLCY1200
Public Policy,PLCY1700
Public Policy,PLCY1701
Public Policy,PLCY1702
Public Policy,PLCY1703
Public Policy,PLCY1822
Public Policy,PLCY1825
Public Policy,PLCY1991
Religious Studies,COST0032
Religious Studies,COST0034
Religious Studies,COST0100
Religious Studies,COST0425
Religious Studies,COST0520
Religious Studies,COST1020
Religious Studies,RELS0015
Religious Studies,RELS0032
Religious Studies,RELS0034
Religious Studies,RELS0045
Religious Studies,RELS0068
Religious Studies,RELS0072
Religious Studies,RELS0085
Religious Studies,RELS0088
Religious Studies,RELS0520
Religious Studies,RELS0525
Religious Studies,RELS0600
Religious Studies,RELS0700
Religious Studies,RELS0845
Religious Studies,RELS0915
Religious Studies,RELS1050
Religious Studies,RELS1370
Religious Studies,RELS1500
Religious Studies,RELS1510
Slavic Studies,CZCH0200
Slavic Studies,CZCH0320
Slavic Studies,CZCH0610
Slavic Studies,PLSH0200
Slavic Studies,PLSH0400
Slavic Studies,PLSH0600
Slavic Studies,PLSH1150
Slavic Studies,RUSS0110
Slavic Studies,RUSS0200
Slavic Studies,RUSS0400
Slavic Studies,RUSS0600
Slavic Studies,RUSS1120
Slavic Studies,RUSS1200
Slavic Studies,RUSS1220
Slavic Studies,RUSS1250
Slavic Studies,RUSS1300
Slavic Studies,RUSS1330
Slavic Studies,RUSS1720
Slavic Studies,RUSS1857
Slavic Studies,RUSS1895
Sociology,SOCI0010
Sociology,SOCI0150
Sociology,SOCI0200
Sociology,SOCI0310
Sociology,SOCI0320
Sociology,SOCI1020
Sociology,SOCI1100
Sociology,SOCI1114
Sociology,SOCI1118
Sociology,SOCI1120
Sociology,SOCI1220
Sociology,SOCI1230
Sociology,SOCI1281
Sociology,SOCI1315
Sociology,SOCI1340
Sociology,SOCI1430
Sociology,SOCI1550
Sociology,SOCI1871
Sociology,SOCI1872
Theater and Performing Arts,TAPS0030
Theater and Performing Arts,TAPS0100
Theater and Performing Arts,TAPS0200
Theater and Performing Arts,TAPS0210
Theater and Performing Arts,TAPS0220
Theater and Performing Arts,TAPS0230
Theater and Performing Arts,TAPS0250
Theater and Performing Arts,TAPS0800
Theater and Performing Arts,TAPS0930
Theater and Performing Arts,TAPS1000
Theater and Performing Arts,TAPS1240
Theater and Performing Arts,TAPS1250
Theater and Performing Arts,TAPS1280
Theater and Performing Arts,TAPS1281
Theater and Performing Arts,TAPS1285
Theater and Performing Arts,TAPS1340
Theater and Performing Arts,TAPS1342
Theater and Performing Arts,TAPS1360
Theater and Performing Arts,TAPS1370
Theater and Performing Arts,TAPS1390
Theater and Performing Arts,TAPS1500
Theater and Performing Arts,TAPS1971
Urban Studies,URBN0074
Urban Studies,URBN1000
Urban Studies,URBN1270
Urban Studies,URBN1870
Visual Art,VISA0100
Visual Art,VISA0120
Visual Art,VISA0130
Visual Art,VISA0140
Visual Art,VISA0150
Visual Art,VISA1080
Visual Art,VISA1110
Visual Art,VISA1210
Visual Art,VISA1240
Visual Art,VISA1310
Visual Art,VISA1420
Visual Art,VISA1510
Visual Art,VISA1520
Visual Art,VISA1710
Visual Art,VISA1720
Visual Art,VISA1800
